Company,Website,Emails,Phones,Link_Creative_Dir,Link_Visual_Head
Ounass,https://www.ounass.ae/,"rawaqar@altayer.com, customercare@ounass.com","62916842, +97144223100, 483939159, 312800470, 215736718, 420903580, 748368382, 77521055, 766770527, 62044390, 215827733, 215782170, 62282704, 215736972, 215736944, 215954360, 232435435, 215783058, 600525500, 33030010, 31536000, 382128072, 633333333, 966138827, 95296213, 760186619, 215782988, 959240762, 971800686, 766770532, 62196130, 72722985, 215782902, 62221229, 600540000, 42022200, 968245201, 215783214, 944723618, 215746309, 766770528, 215746181, 62200493, 215827738, 215827753, 501234567, 0342082210, 674285354, 215736855, 215783031, 215746236, 62164453, 96575601, 69451868, 90560619, 683667297, 215954584, 300099496, 62247757, 201717043, 971442231, 215827764, 973173641, 766770529, 00971 44223100, +971 44223100, 215646440, 42023100, 665213679, 618045428, 672917125, 215781860, 650774054, 918367346, +971444244444, 998350086, 215646751, 215357907, 215783034, 911640100, 61044300, 369187330, 215746484, 215746178, 0603838045, 666348330, 661235885, 215782861, 215357842, 64052000, 291666666, 62048178, 69646840, 215746346, 469656992, 215736946, 261238373, 215736911, 382126392, 670496399, 62044300, 965180834, 663410449, 403018176, 766770531, 974445878, 215736955, 285714285, 215783062, 674714670, 215782155, 215782770",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Ounass%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Ounass%20Dubai
Atlantis The Royal,https://duckduckgo.com/y.js?ad_domain=getyourguide.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=H0AnmqrtiF4qEgKz%2DNPABYBOBr7HR5UDKB1aKU8B9MTgOkzmTEM4nXxJxpfMZyJkw_obUDJwsV4dVNM3JuPz4xFSH%2DTo0mYUTihw2NqyGmC6VhSAmpLYRL8NoXAM5BMHMyc1BRjB%2Dp8prlMgOwA10w.rJQcAXuKB%2DlFdkduGeS7OQ&eddgt=m8jjGOIvlGYtnaj99TYg0w%3D%3D&rut=6f9c207109f55484e6b63c23be830317584559c9f057533dd6f9f18766eae7c6&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8tMTCBZzfdKnDvhyh4u5AODVUCUwENoeNHA1eAIkISgY%2DX7l0OyCKex1R9DtdDDCHhdYJ3GHYtVpVDo4VL70nyi0SzZkwheBNYXSR7fuD5x%2Dk9Fo_7%2DVoWVCZRqD3JNWaY6dWZLuSpHZSxf45YvkMms7e7IY8civRfKxNUDjNSwE923Q07PQOq%2DjXbAjzhsJHGrgXb9kb3xUv2lT%2DKD5Qa7eAHwk%26u%3DaHR0cHMlM2ElMmYlMmZ3d3cuZ2V0eW91cmd1aWRlLmNvbSUyZi1sMTk4MTcxJTJmJTNmY21wJTNkYmluZyUyNmNtcCUzZGJpbmclMjZhZF9pZCUzZDc4MDY1NTQ0ODMxNjEyJTI2YWRncm91cF9pZCUzZDEyNDkwNDY1Njc0Nzg5MTglMjZiaWRfbWF0Y2hfdHlwZSUzZGJwJTI2Y2FtcGFpZ25faWQlM2Q3MTA4MTkxODElMjZkZXZpY2UlM2RjJTI2ZmVlZF9pdGVtX2lkJTNkJTI2a2V5d29yZCUzZGF0bGFudGlzJTI1MjB0aGUlMjUyMHJveWFsJTI1MjBib29raW5nJTI2bG9jX2ludGVyZXN0X21zJTNkMTU0NjQ1JTI2bG9jX3BoeXNpY2FsX21zJTNkMjYyNzI5JTI2bWF0Y2hfdHlwZSUzZHAlMjZtc2Nsa2lkJTNkZWI5OWJjZDRiOTAxMTE1OTQyOWFkNTlhN2U2YjI1NTklMjZuZXR3b3JrJTNkbyUyNnBhcnRuZXJfaWQlM2RDRDk1MSUyNnRhcmdldF9pZCUzZGt3ZC03ODA2NTc5ODg3NjY3MSUyNnV0bV9hZGdyb3VwJTNkbGMlMjUzRDE5ODE3MSUyNTNBYXRsYW50aXMlMjUyMHRoZSUyNTIwcm95YWwlMjU3Q2ZuJTI1M0RmNSUyNTdDY2klMjUzRDEwMTQlMjUzQXRpY2tldHMlMjZ1dG1fY2FtcGFpZ24lM2RkYyUyNTNENTYlMjUzQWFlJTI1N0NsYyUyNTNEMTk4MTcxJTI1M0FhdGxhbnRpcyUyNTIwdGhlJTI1MjByb3lhbCUyNTdDY3QlMjUzRGNvcmUlMjU3Q2xuJTI1M0QyOSUyNTNBZW4lMjU3Q3RjJTI1M0RhbGwlMjZ1dG1fa2V5d29yZCUzZGF0bGFudGlzJTI1MjB0aGUlMjUyMHJveWFsJTI1MjBib29raW5nJTI2dXRtX21lZGl1bSUzZHBhaWRfc2VhcmNoJTI2dXRtX3F1ZXJ5JTNkQXRsYW50aXMlMjUyMFRoZSUyNTIwUm95YWwlMjUyMG9mZmljaWFsJTI1MjB3ZWJzaXRlJTI1MjBEdWJhaSUyNnV0bV9zb3VyY2UlM2RiaW5n%26rlid%3Deb99bcd4b9011159429ad59a7e6b2559&vqd=4-241070002675116962717895618386453229793&iurl=%7B1%7DIG%3D349BC1D47569473AA4B01C1B73C4B289%26CID%3D2B4BBD333614693F1104ABFD37EC6880%26ID%3DDevEx%2C5046.1,,"764672124, 766151966, 780655448, 309810293, 358547496, 39473686, 027593832, 0778261331, 093022035, 765528782, 754484163, 765269903, 743427802, 756805880, 77416668, 235833873, 766401442, 705079381, 021443889, 766148900, 710819181, 765863019, 765365780, 070190816, 764782050, 764080340, 756366452, 766395920, 648853233, 249046567, 764182162, 241717689, 780657988, 409921658, 764081275, 764081274, 759411801, 760972232, 764094541, 409921694, 765889670, 216835272, 764687723, 024154589, 034602076, 743427780, 762970553, 280999482, 765967033, 762360655, 764081264, 0928309182, 33333334, 744369617, 611449804, 26548672, 925397427, 766152680, 754043960, 766150700, 908128390, 761656745, 034384362, 28462985, 92128486, 744369633, 752651300, 901115942, 74465320, 762781833, 764782020, 698512781, 764252780, 211599743, 242530845, 69501027, 761099969, 761586141, 761574760, 766160819, 026635012, 741263465, 764093059, 071102396, 753258620, 765528707, 766692179, 765363020, 045930665, 766692227, 20251226, 754036162, 765878304, 34615386, 762782436, 982301823",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Atlantis%20The%20Royal%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Atlantis%20The%20Royal%20Dubai
Museum of the Future,https://duckduckgo.com/y.js?ad_domain=viator.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=T2dr_kaanUXOEtB5xLnHeBWwiQrUlI45hZuceYViv3XV1LpzUJ_0X9vdkmhUOCmSB4PX8xWhwSbkOQoRYJyRnf5g1g7dAJPDIVmVA8h7dtMPHVoj3qldyGSH7NOhgf49RV6bZ%2DihzIDaFMNW5xI89w.S%2D_4wRWr3yKunPP4w_dtoA&eddgt=v0M_L7Lu3tK82LVVmnJIJQ%3D%3D&rut=ff941667498c5924537d9adfd6ff72901370ac0e30df31300b2f42fb1e69f143&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8q8lPlJXEcUiQ3pKVWWFfJzVUCUw8x%2DSzCQ1oXqn6pmNLr2MnSQQ5a607wQQzckSd5EwWIQy6215QpuDBaIYdXGyoBBGToifTNxUd5%2Db4sW93oUEBx1x7NEyk1ep_ghXgpc_tAsPUN2Dw1whSrvlZIKlmi60tZrHA2e3ixT_%2DYOG0UbocpxPPs8ow18mHSUXaIvIhSsyt7pja6334W2L8VbioDbc%26u%3DaHR0cHMlM2ElMmYlMmZhZC5kb3VibGVjbGljay5uZXQlMmZzZWFyY2hhZHMlMmZsaW5rJTJmY2xpY2slM2ZsaWQlM2Q0MzcwMDA4MTg3NTIzMzIzOSUyNmRzX3Nfa3dnaWQlM2Q1ODcwMDAwODg4Mjk2NjI2OCUyNmRzX2FfY2lkJTNkNzA3NDgzMzcxNSUyNmRzX2FfY2FpZCUzZDIyNDc0NzAzOTI3JTI2ZHNfYV9hZ2lkJTNkMTgwOTc1NzIxMzIwJTI2ZHNfYV9saWQlM2Rrd2QtMzI2OTczNzE5NDY3JTI2JTI2ZHNfZV9hZGlkJTNkNzY5NjYwMTUyNTYxOTclMjZkc19lX3RhcmdldF9pZCUzZGt3ZC03Njk2NjI0MDYzNzEwMSUyNiUyNmRzX2VfbmV0d29yayUzZG8lMjZkc191cmxfdiUzZDIlMjZkc19kZXN0X3VybCUzZGh0dHBzJTNhJTJmJTJmd3d3LnZpYXRvci5jb20lMmZEdWJhaS10b3VycyUyZk11c2V1bS1UaWNrZXRzLWFuZC1QYXNzZXMlMmZkODI4LWc4LWMzMSUzZm0lM2QzMzk1MyUyNnN1cGFnJTNkMTIzMTQ1NDEwNDAwODU5OCUyNnN1cGNhJTNkNjc2OTk0NTQyJTI2c3Vwc2MlM2Rrd2QtNzY5NjYyNDA2MzcxMDElMjZzdXBhaSUzZDc2OTY2MDE1MjU2MTk3JTI2c3VwZHYlM2RjJTI2c3VwbnQlM2RudCUzYW8lMjZzdXBscCUzZDE1NDgyMCUyNnN1cGxpJTNkMTQzMTgzJTI2c3VwdGklM2Rrd2QtNzY5NjYyNDA2MzcxMDElMjZ0c2VtJTNkdHJ1ZSUyNnN1cGNpJTNka3dkLTc2OTY2MjQwNjM3MTAxJTI2c3Vwa3clM2RNdXNldW0lMjUyMG9mJTI1MjB0aGUlMjUyMEZ1dHVyZSUyNTIwb2ZmaWNpYWwlMjUyMHdlYnNpdGUlMjUyMER1YmFpJTI2Z2NsaWQlM2QxOWFkMzIzYzdiMzAxMzMxODNmMTViNzJiYzRlMzMwNCUyNmdjbHNyYyUzZDNwLmRzJTI2JTI2bXNjbGtpZCUzZDE5YWQzMjNjN2IzMDEzMzE4M2YxNWI3MmJjNGUzMzA0%26rlid%3D19ad323c7b30133183f15b72bc4e3304&vqd=4-60316889375860391398442214988016765677&iurl=%7B1%7DIG%3DC116C20FBB094FA1B0D9C5EBE6DA2A62%26CID%3D22D5E1B0601760292D74F77E617561A9%26ID%3DDevEx%2C5046.1,,"769662406, 30133183, 231454104, 676687229, 676994542, 769660152, 224747039",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Museum%20of%20the%20Future%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Museum%20of%20the%20Future%20Dubai
Sole DXB,https://duckduckgo.com/y.js?ad_domain=viator.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=rMrWEMjLTARNonXY6Kkiby_dc4h4_RLS9gZthQy32xGRl44ymfLe1B65l4v4IGj7PYSCX%2DUzhiZFf9NpyCZKbkznQ1EnX_335P1o9Y4ZKlD9SM3CxlfAeKtZYKT5NjT9xTmTrLRZG6u4FyVK1kIidg.3ct5tt42ycqf1DCA7bwEXw&eddgt=XuPRmODXDV63Pa_UCTSJ7Q%3D%3D&rut=c49979043b6dbd495fb1faf1564f6f8cb8fcb86980b0538acd3bbdeec614c17e&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8DvO%2Df1eejpUJzQO6kJBgYjVUCUyDssoGEB8ExqGqJ_OCTCEnLMQRCGBnStwsmOvALkWKzu5f2_hbtzNEoYe55RYTVMFSUUcGpRxSl%2DkchNzQTJ5Dc3G7q6uvV9AzMDcfVow7dT%2DCwF7R3JD0CqTCJWDQiPI_vyyzF8oLyij2LofUOou_BeOh0Y0CUc23zzRdVlywY3eYHjQ8hVWeVOUkNI%2DpFX4EUPCab9k4arqpywvucubs_ePkaDjBZihSHSp%2DBFep09lAZkTOq9Box2%2DQdfI0ZGscgWBxlWIJ0sSkHwYTrzUJZoTPmJrIit4pUSrhP3L9R%2DxQJHC1jgLJxquovu2hpeXsYnepK0MUiH3oNGJiYlWPtib3fx_kdhIYxKZD7tewDvbhP%2Diw15wtiDWUnfPWN_FjRT9Zxe_n4GD%2DOXL4XyGR3vRJ8lX7LcGXOC03hUx5hJefWG0YAhxYjrcCpvSUyJoI47qTOrlBNO7mnum%2DleossT5web1g%2DkrGplY4rzqIhz9Mj2OnkVrJvDO1Od_a2D%2D0320ajdc6BjxVDkQF2sgQNiUpu6q7LWTuygLHsXaHAUlQiEZvpdNMAJK2TS0YmK3rLAeJ6%2Der25h1HJ4VJudVpM8HWS1ZuJHN2sj7gGMJTjSG__RXiVHPA%2D6572EcUjyKPkLQ%2DpEkEm%2DtnmFJkgnLQ8KrlwGV8hSi1SakfLvaqxnY7JnDyCoOmC86EXc4GC_F3zTIRcvLodXQmvN5_A14JOyud4Qk4jPdo7rwH_GOiA1M28VeRsHodOPY5RiHA_I%26u%3DaHR0cHMlM2ElMmYlMmZhZC5kb3VibGVjbGljay5uZXQlMmZzZWFyY2hhZHMlMmZsaW5rJTJmY2xpY2slM2ZsaWQlM2Q0MzcwMDA4MTg4NDUxMDAxNSUyNmRzX3Nfa3dnaWQlM2Q1ODcwMDAwODg4Mjk2NjI3NyUyNmRzX2FfY2lkJTNkNzA3NDgzMzcxNSUyNmRzX2FfY2FpZCUzZDIyNDc0NzAzOTI3JTI2ZHNfYV9hZ2lkJTNkMTgyMzQ3NTYzMzEwJTI2ZHNfYV9saWQlM2Rrd2QtMTM2OTgzNTUxJTI2JTI2ZHNfZV9hZGlkJTNkNzcxNzIxNzM4MTMwMTAlMjZkc19lX3RhcmdldF9pZCUzZGt3ZC03NzE3MjQwMDE2OTQ5OSUyNiUyNmRzX2VfbmV0d29yayUzZG8lMjZkc191cmxfdiUzZDIlMjZkc19kZXN0X3VybCUzZGh0dHBzJTNhJTJmJTJmd3d3LnZpYXRvci5jb20lMmZEdWJhaS10b3VyaXNtJTJmZDgyOC1yNDk5OTc0OTU0MTUtczIxMjA4MTUzMSUzZm0lM2QzMzk1MyUyNnN1cGFnJTNkMTIzNDc1MjYzOTAzNTU0NSUyNnN1cGNhJTNkNjc2OTk0NTQyJTI2c3Vwc2MlM2Rrd2QtNzcxNzI0MDAxNjk0OTklMjZzdXBhaSUzZDc3MTcyMTczODEzMDEwJTI2c3VwZHYlM2RjJTI2c3VwbnQlM2RudCUzYW8lMjZzdXBscCUzZDE1ODI5MSUyNnN1cGxpJTNkMTU0NjQ1JTI2c3VwdGklM2Rrd2QtNzcxNzI0MDAxNjk0OTklMjZ0c2VtJTNkdHJ1ZSUyNnN1cGNpJTNka3dkLTc3MTcyNDAwMTY5NDk5JTI2c3Vwa3clM2RTb2xlJTI1MjBEWEIlMjUyMG9mZmljaWFsJTI1MjB3ZWJzaXRlJTI1MjBEdWJhaSUyNmdjbGlkJTNkYzFjMDE4ZGU2NGE1MTNmYjZlZmQ3MTkwYTMzNjk4ZWQlMjZnY2xzcmMlM2QzcC5kcyUyNiUyNm1zY2xraWQlM2RjMWMwMThkZTY0YTUxM2ZiNmVmZDcxOTBhMzM2OThlZA%26rlid%3Dc1c018de64a513fb6efd7190a33698ed&vqd=4-329123769583404651245483508889926916686&iurl=%7B1%7DIG%3D79460211BEE4410AA6332F6A811BA3D1%26CID%3D040D95C3AC876E6B3A15830DADE56F78%26ID%3DDevEx%2C5046.1,,"771721738, 212081531, 676994542, 499974954, 224747039, 234752639, 771724001",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Sole%20DXB%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Sole%20DXB%20Dubai
Dubai Design District (d3),https://duckduckgo.com/y.js?ad_domain=getyourguide.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=fWgJd7B3y5xIxzg5_8RCptknHxSCUvYy1v0FwqcVyvTastxTpIVr1Z9YkW_xM11XkXVvo6HmapghPNX8DtIH95RUFrYIv0Mi%2DQmAhD8ZjBdCmttXwQ8v6CpKbWh4DXnqil9kRLXeJq7t_fFa4dII4Q.gYX8nvkN1Fl1oV%2DLW3277Q&eddgt=75eMUpSQ3bU%2DrpmfQhacFw%3D%3D&rut=54983b53facb363a3d4c63583e98ded5a29beba89ff202c894589e14e7c6ec64&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8HMPt7V7E1BzjYlQfaq8rsDVUCUxXZxekIMXmE2%2DOXIdHFFO39cNDKAr9tdjitOK0JsIPp_26uAA2xg3aW1lpiKKD4JHxgoOxEMemHZcAKTOSGd7emF249I1VmMYxFH3zIq48EAXK_aAKvixfuXwzwYizylaEuQPhUcMJ3jf30da7Nm7P4Vu2JeIl%2D3CFinDy_UaUDjErFbGLUUSnI14pnxMRJMs%26u%3DaHR0cHMlM2ElMmYlMmZ3d3cuZ2V0eW91cmd1aWRlLmNvbSUyZi1sMTQ0MDgyJTJmJTNmY21wJTNkYmluZyUyNmNtcCUzZGJpbmclMjZhZF9pZCUzZDc4NDA5MTQyMTUyMTI0JTI2YWRncm91cF9pZCUzZDEyNTQ1NDQxMjU1OTc0ODMlMjZiaWRfbWF0Y2hfdHlwZSUzZGJwJTI2Y2FtcGFpZ25faWQlM2Q3MTA4MTkzMTElMjZkZXZpY2UlM2RjJTI2ZmVlZF9pdGVtX2lkJTNkJTI2a2V5d29yZCUzZGR1YmFpJTI1MjBkZXNpZ24lMjUyMGRpc3RyaWN0JTI2bG9jX2ludGVyZXN0X21zJTNkMTU0NjQ1JTI2bG9jX3BoeXNpY2FsX21zJTNkMjYyNzI5JTI2bWF0Y2hfdHlwZSUzZHAlMjZtc2Nsa2lkJTNkMmU4NjBlM2NiMGQ1MWFiYjk3NGI2NzcyNzc0ODQ4ZjAlMjZuZXR3b3JrJTNkbyUyNnBhcnRuZXJfaWQlM2RDRDk1MSUyNnRhcmdldF9pZCUzZGt3ZC03ODQwOTM5NjExMzM4OCUyNnV0bV9hZGdyb3VwJTNkbGMlMjUzRDE0NDA4MiUyNTNBZHViYWklMjUyMGRlc2lnbiUyNTIwZGlzdHJpY3QlMjU3Q2ZuJTI1M0RmMyUyNTdDY2klMjUzRDkzNyUyNTNBdGhpbmdzJTI1MjB0byUyNTIwZG8lMjZ1dG1fY2FtcGFpZ24lM2RkYyUyNTNENTYlMjUzQWFlJTI1N0NsYyUyNTNEMTQ0MDgyJTI1M0FkdWJhaSUyNTIwZGVzaWduJTI1MjBkaXN0cmljdCUyNTdDY3QlMjUzRGNvcmUlMjU3Q2xuJTI1M0QyOSUyNTNBZW4lMjU3Q3RjJTI1M0RhbGwlMjZ1dG1fa2V5d29yZCUzZGR1YmFpJTI1MjBkZXNpZ24lMjUyMGRpc3RyaWN0JTI2dXRtX21lZGl1bSUzZHBhaWRfc2VhcmNoJTI2dXRtX3F1ZXJ5JTNkRHViYWklMjUyMERlc2lnbiUyNTIwRGlzdHJpY3QlMjUyMGQzJTI1MjBvZmZpY2lhbCUyNTIwd2Vic2l0ZSUyNTIwRHViYWklMjZ1dG1fc291cmNlJTNkYmluZw%26rlid%3D2e860e3cb0d51abb974b6772774848f0&vqd=4-104946714129994166754414005425047691799&iurl=%7B1%7DIG%3D94978CBBEC5A48F89A94B3EF5F66B482%26CID%3D032D82C4E4BC6D9D382C940AE5446CA7%26ID%3DDevEx%2C5046.1,,"764672124, 766151966, 918639831, 309810293, 39473686, 710819311, 649937196, 695633886, 027593832, 765269903, 765528782, 754484163, 937682649, 743427802, 756805880, 766401442, 705079381, 766770591, 021443889, 742819434, 630936660, 766770593, 766148900, 794547189, 765863019, 765365780, 070190816, 349238891, 764782050, 764080340, 0911087679, 756366452, 766395920, 360560972, 764182162, 241717689, 409921658, 764081275, 764081274, 208138176, 759411801, 760972232, 764094541, 409921694, 765889670, 71498503, 216835272, 764687723, 024154589, 034602076, 743427780, 739962934, 762970553, 280999482, 766770542, 765967033, 792827459, 917111820, 762360655, 764081264, 0928309182, 33333334, 744369617, 906101877, 26548672, 711682112, 925397427, 766152680, 754043960, 766150700, 208590590, 784093961, 908128390, 21000507, 761656745, 751547776, 961173705, 034384362, 28462985, 92128486, 744369633, 752651300, 628998905, 762781833, 764782020, 698512781, 677277484, 764252780, 211599743, 5645498591, 242530845, 98402089, 761099969, 617432091, 5576596103, 30006341, 761586141, 761574760, 784091421, 63085587, 766160819, 696771797, 026635012, 292092708, 787759828, 741263465, 254544125, 764093059, 071102396, 753258620, 765528707, 766692179, 765363020, 045930665, 700109286, 766692227, 20251226, 754036162, 765878304, 34615386, 39319757, 762782436, 982301823",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Dubai%20Design%20District%20%28d3%29%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Dubai%20Design%20District%20%28d3%29%20Dubai
Matcha Club,https://matchaclubae.com/,info@matcha-club.ae,"99999999, 738157644, +971505841461, 730293829, 242321076, 69251757, 588318590, 40476021, 241717689, 729597600, 971504601, +971 50 584 1461, 730293847, 04 548 8364, 949435392, 749544215, 999999999, 731040506, +971504601461, +971 50 460 1461",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Matcha%20Club%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Matcha%20Club%20Dubai
Alserkal Avenue,https://alserkal.online/,,"251210192, 244766947, 92283779, 21169366, 951907325, 522444681, 21406226, 370812049, 724313773, 921845082, 418966706, 605767313, 77487642, 92745359, 5202560014, 964152388, 37025521, 385116071, 214748364, 27382824, 930238767, 758670472, 427607263, 65183894",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Alserkal%20Avenue%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Alserkal%20Avenue%20Dubai
The Giving Movement,https://thegivingmovement.com/,team@thegivingmovement.com,"720002717, 961474396, 698836003, 718957649, 757569063, 979890179, 325566143, 269068445, 744393933, 99512224, 296207862, 744405729, 718957992, 455709187, 979883625, 752755846, 020270148, 759301800, 744403108, 269542776, 296207681, 279059558, 766770644, 484180623, 756830936, 268675240, 759301771, 413496999, 799294221, 269578584, 251210192, 698901539, 580572679, 296206192, +971 50 981 0588, 294996967, 752755845, 64938381, 718959409, 979886902, 765274364, 269542774, 296208584, 420382834, 961475707, 744398192, 974600976, 756717036, 257034255, 5827048302, 717424895, 933184450, 270432976, 759301770, 744370667, 754303264, 921359155, +971600523846, 91453508, 452471482, 268675172, 766770648, 439560439, 718958382, 420382769, 296207401, 763463888, 756442156, 784346659, 269748139, 420382801, 450487094, 38087459, 961475051, 267626171, 268675239, 752755647, 971509810, 269542775, 698967075, 765268707, 270432977, 766770643, 269116407, 752755789, 714742274, 765283692, 257034254, 413884350, 917290366, 748613972, 720005719, 765268628, 273266114, 718958226, 268675173, 480668209, 765976622, 934999999, 566874489, 268675167, 0467591203, 37989155, 349366999, 268675168, 752755790, 756717037, 276039106, 950513480, 919001065, 744369684, 718956295, 498474680, 758732560, 203644976, 950510858, 296207985, 781890662, 765268943, 744369029, 443035651, 38218531",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20The%20Giving%20Movement%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20The%20Giving%20Movement%20Dubai
Level Shoes,https://www.levelshoes.com/,"info@levelshoes.com, johndoe@domain.com, guestservices@levelshoes.com","251210192, 348947378, 20566449, 918639831, 33573882, 97197514, 603672227, 704622759, 717558820, 94465140, 980386070, 908510229, 31432884, 38730610, 71455334, 95572030, 717558827, 766770662, +971 800 538 3573, 523489805, 919092335, 766770666",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Level%20Shoes%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Level%20Shoes%20Dubai
Huda Beauty,https://duckduckgo.com/y.js?ad_domain=oneclearwinner.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=QzhgmY0jlKguxo_7Po29koahhdkTeoJ2kH%2D4p4EhcFTXhQ6S0YYYuQCSlLZqGIFZjPLN3a1nXWGEk9lzA_EAJXLZ7SaHouEL6mA79miaxB3XwIZ1VS4IWMh3thUszomh_cEcG83OtTSQjVruMyGS3A.VRS7xOGmS1Jvhsee2Q0rrg&eddgt=BE8P6akfMMbC4R4nswGR%2DQ%3D%3D&rut=2f53310e8e4c058de5ee89f2fd489d7164a452eda978c775e75cf56a88ee4459&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8s%2DY5YQ4SNgoCLwhM3qcVjzVUCUwtubfLONEe272c8wSU0NBnpOn%2DYO_ZysVcWa7JbTdboDo05HtVVGxT9514OvP%2DzMEwVAioyZCpTC6bML5%2DFgCm8ZpRtHuK8rGEbvVpHIe6DTU1OEIZoA1V0lGsLzZPGzllta8YO3UW9rEvLciBiG77iFrwpkpelK6ULeBPYMZtm5fw4SQuwORK9JKI5jAxZaw%26u%3DaHR0cHMlM2ElMmYlMmZyZXZpZXdzLm9uZWNsZWFyd2lubmVyLmNvbSUyZnByb2R1Y3QlMmZodWRhLWJlYXV0eS1wYWxldHRlJTJmJTNmbXNjbGtpZCUzZDc1MzRkMDAyYWE1ZTEzMTFlYTgwYjk0YzZkYjEzNjlkJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkZ2VvJTI1M0FXVyUyNTIwJTI1N0MlMjUyMHNpdGUlMjUzQU9DV19zc3JfdDMlMjUyMCUyNTdDJTI1MjB0eXBlJTI1M0FLV3MlMjUyMCUyNTdDJTI1MjBjYXRlZ29yeSUyNTNBUG9zaXRpdmVST0kyJTI2dXRtX3Rlcm0lM2RodWRhJTI1MjBiZWF1dHklMjUyMHBhbGV0dGUlMjZ1dG1fY29udGVudCUzZEFkJTI1MjBncm91cCUyNTIwNA%26rlid%3D7534d002aa5e1311ea80b94c6db1369d&vqd=4-185631289105604849709869028876460553030&iurl=%7B1%7DIG%3D1956C7233D77452D9E205D74EF1F86BA%26CID%3D1EE434DEDD986A2D04E42210DCFA6BAF%26ID%3DDevEx%2C5046.1,contact@oneclearwinner.com,"766770678, 664715839, 94564658, 97110557, 918639831, 71010180, 767693173, 766770681, 912665713, 97899907, 766770674, 279357650, 0956169259",https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Huda%20Beauty%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Huda%20Beauty%20Dubai
