event_id,event_name,event_type,start_date,end_date,city,country,region,venue,organizer,organizer_contact,website,exhibitors_count,exhibitor_list,categories,season,description,source_url,scraped_date
FW-SS26-London-3375,SS26 London Women's,Fashion_Week,2026-06-02,2026-06-20,London,United Kingdom,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Women,SS26,SS26 London Women's for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/london/women,2025-11-12 07:45:25
FW-SS26-Milan-6438,SS26 Milan Men's,Fashion_Week,2026-06-20,2026-06-24,Milan,Italy,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men,SS26,SS26 Milan Men's for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/men,2025-11-12 07:45:30
FW-SS26-Paris-4462,SS26 Paris Men's,Fashion_Week,2026-06-24,2026-06-29,Paris,France,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men,SS26,SS26 Paris Men's for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/paris/men,2025-11-12 07:45:33
FW-SS26-Berlin-7416,Berlin Fashion Week,Fashion_Week,N/A,N/A,Berlin,Germany,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Berlin Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/berlin/men-and-women,2025-11-12 07:45:36
FW-SS26-Shanghai-5231,Shanghai Market Week,Fashion_Week,2026-07-04,2026-07-17,Shanghai,China,Asia,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Resort,SS26,Shanghai Market Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/shanghai/resort,2025-11-12 07:45:38
FW-SS26-Copenhagen-6885,Copenhagen Fashion Week,Fashion_Week,N/A,N/A,Copenhagen,Denmark,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Copenhagen Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/copenhagen/men-and-women,2025-11-12 07:45:42
FW-SS26-Tokyo-1336,Rakuten Tokyo Fashion Week,Fashion_Week,N/A,N/A,Tokyo,Japan,Asia,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Rakuten Tokyo Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/tokyo/men-and-women,2025-11-12 07:45:45
FW-SS26-Seoul-6579,Seoul Fashion Week,Fashion_Week,N/A,N/A,Seoul,South Korea,Asia,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Seoul Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/seoul/men-and-women,2025-11-12 07:45:48
FW-SS26-Kiev-3352,Ukrainian Fashion Week,Fashion_Week,N/A,N/A,Kiev,Ukraine,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Ukrainian Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/kiev/men-and-women,2025-11-12 07:45:51
FW-SS26-London-7568,London Fashion Week,Fashion_Week,N/A,N/A,London,United Kingdom,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,London Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/london/men-and-women,2025-11-12 07:46:04
FW-SS26-Milan-808,SS26 Milan Women's,Fashion_Week,N/A,N/A,Milan,Italy,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Women,SS26,SS26 Milan Women's for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/women,2025-11-12 07:46:06
FW-SS26-Paris-2077,SS26 Paris Women's,Fashion_Week,N/A,N/A,Paris,France,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Women,SS26,SS26 Paris Women's for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/paris/women,2025-11-12 07:46:09
FW-SS26-Lisbon-5440,Lisboa Fashion Week,Fashion_Week,N/A,N/A,Lisbon,Portugal,Europe,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Lisboa Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/lisbon/men-and-women,2025-11-12 07:46:12
FW-SS26-Shanghai-2342,Shanghai Fashion Week,Fashion_Week,N/A,N/A,Shanghai,China,Asia,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Shanghai Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/shanghai/men-and-women,2025-11-12 07:46:16
FW-SS26-Taipei-5481,Taipei Fashion Week,Fashion_Week,N/A,N/A,Taipei,Taiwan,Asia,N/A,N/A,N/A,https://www.cookiebot.com,N/A,N/A,Men And Women,SS26,Taipei Fashion Week for SS26,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/taipei/men-and-women,2025-11-12 07:46:19
