company_name,mini_site_url,source_tradeshow,tradeshow_city,tradeshow_country,tradeshow_region,scraped_at
Details,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.122360
[#IABV2SETTINGS#],https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.129616
About,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.138480
Fashion Weeks Agenda,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.216083
International Agenda,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.223967
Intern. Sales Campaigns,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.228486
Press Days,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.233920
Brands,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.238732
Tradeshows & Fashion Weeks,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.243337
Multi-Label Showrooms,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.248085
Multi-Label Stores,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.254216
Press Offices,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.259537
Editors and Media,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.264224
Fashion Schools,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,Istanbul Fashion Connection (IFCO),Istanbul,Turkey,Europe,2025-11-13T12:37:36.270326
