lead_type,company_name,description,email,phone,website,instagram,facebook,city,country,region,source,source_url,scraped_date
Press Office,Antik Batik,Brand Contact (potential PR),N/A,+33 (0)1 48 87 90 29,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/antikbatik,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/antikbatik,2025-11-13
Press Office,EBIT™,Brand Contact (potential PR),N/A,+393478096923,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ebit-tm_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ebit-tm_fashion_brand,2025-11-13
Press Office,Ernest Leoty,Brand Contact (potential PR),N/A,+33 (0)679378559,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ernestleoty_fashion_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ernestleoty_fashion_brand,2025-11-13
Press Office,Rosenthal Trading Gmbh,Brand Contact (potential PR),N/A,68 40474,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/rosenthal,@Showroom,N/A,Düsseldorf,Germany,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/rosenthal,2025-11-13
Press Office,Goti,Brand Contact (potential PR),N/A,8 - 20135,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/gotijewelry,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/gotijewelry,2025-11-13
Press Office,Guidi,Brand Contact (potential PR),N/A,+39 391 159 83 26,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/guidi,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/guidi,2025-11-13
Press Office,Hul le Kes,Brand Contact (potential PR),N/A,+31(0)6 24 13 43 11,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/hul_le_kes_brand,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/hul_le_kes_brand,2025-11-13
Press Office,Labo.Art,Brand Contact (potential PR),N/A,12 20154,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/laboart,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/laboart,2025-11-13
Press Office,ma' ry' ya,Brand Contact (potential PR),N/A,27-20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/maryya_maria_icho_knitwear,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/maryya_maria_icho_knitwear,2025-11-13
Press Office,Malloni,Brand Contact (potential PR),N/A,+39 349 8244374,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/malloni,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/malloni,2025-11-13
Press Office,Maria Calderara,Brand Contact (potential PR),N/A,15 - 20124,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/mariacalderara,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/mariacalderara,2025-11-13
Press Office,Marsèll,Brand Contact (potential PR),N/A,+39 02 76 39 49 20,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marsell,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marsell,2025-11-13
Press Office,Paul Easterlin,Brand Contact (potential PR),N/A,+1 917 362 67 50,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/paul_easterlin_shoes,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/paul_easterlin_shoes,2025-11-13
Press Office,Sorelle Secli,Brand Contact (potential PR),N/A,21 20121,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/sorelle_secli,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/sorelle_secli,2025-11-13
Press Office,MR60 Showroom,Brand Contact (potential PR),N/A,21 20121,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/mr60_showroom,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/mr60_showroom,2025-11-13
Press Office,Toga,Brand Contact (potential PR),N/A,75003 75003,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/toga,N/A,N/A,Paris,France,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/toga,2025-11-13
Press Office,Transit,Brand Contact (potential PR),N/A,31 20144,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/transitparsuch,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/transitparsuch,2025-11-13
Press Office,Y-3,Brand Contact (potential PR),N/A,+49 (0)151 12 26 44 50,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/y-3,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/y-3,2025-11-13
Press Office,Zona20 Milano,Brand Contact (potential PR),N/A,26 20143,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/zona20milano,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/zona20milano,2025-11-13
Press Office,Maria Vittoria Bar Ziv,Brand Contact (potential PR),N/A,38 20129,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,N/A,N/A,Milan,Italy,Europe,designer_showrooms_contacts,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,2025-11-13
