event_name,event_type,start_date,end_date,city,country,region,source_url,mini_website_url,event_id,scraped_date
Istanbul Fashion Connection (IFCO),Tradeshow,N/A,N/A,Istanbul,Turkey,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/istanbul_fashion_connection,TS0001,2025-11-13
Centrestage,Tradeshow,N/A,N/A,Hong Kong,China,Asia,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/centrestage,TS0002,2025-11-13
Curate Paris,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/curateinternationalcollections,TS0003,2025-11-13
Interfilière Paris,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/whosnext,TS0004,2025-11-13
Istanbul Fashion Connection (IFCO),Tradeshow,N/A,N/A,Istanbul,Turkey,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/istanbul_fashion_connection,TS0005,2025-11-13
MICAM Milano,Tradeshow,N/A,N/A,Milan,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/micam_tradeshow,TS0006,2025-11-13
Milano Fashion&Jewels,Tradeshow,N/A,N/A,Milan,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/milanofashionandjewels,TS0007,2025-11-13
Ontimeshow,Tradeshow,N/A,N/A,Shanghai,China,Asia,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/ontimeshow,TS0008,2025-11-13
Pitti Immagine Bimbo 101,Tradeshow,N/A,N/A,Florence,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/pitti_immagine,TS0009,2025-11-13
Pitti Immagine Filati 97,Tradeshow,N/A,N/A,Florence,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/pitti_immagine,TS0010,2025-11-13
Pitti Immagine Uomo 108,Tradeshow,N/A,N/A,Florence,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/pitti_immagine,TS0011,2025-11-13
Premiere Classe,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/premiereclasse,TS0012,2025-11-13
Purple - Sign of the Times,Tradeshow,N/A,N/A,Milan,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/white,TS0013,2025-11-13
Scoop,Tradeshow,N/A,N/A,London,United Kingdom,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/scoop,TS0014,2025-11-13
Splash Paris,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/splash_paris,TS0015,2025-11-13
Splash Paris,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/splash_paris,TS0016,2025-11-13
Supreme Women & Men Düsseldorf,Tradeshow,N/A,N/A,Düsseldorf,Germany,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/munichfashioncompany,TS0017,2025-11-13
Supreme Women & Men Munich,Tradeshow,N/A,N/A,Munich,Germany,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/munichfashioncompany,TS0018,2025-11-13
Tranoï Paris,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/tranoi,TS0019,2025-11-13
Tranoï Showcase x Saudi 100 Brands,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/tranoi,TS0020,2025-11-13
Tranoï Tokyo,Tradeshow,N/A,N/A,Tokyo,Japan,Asia,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/tranoi,TS0021,2025-11-13
White Milano,Tradeshow,N/A,N/A,Milan,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/white,TS0022,2025-11-13
White Resort,Tradeshow,N/A,N/A,Milan,Italy,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/white,TS0023,2025-11-13
Who's Next,Tradeshow,N/A,N/A,Paris,France,Europe,https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/digital/extra/tradeshows,https://www.modemonline.com/fashion/mini-web-sites/tradeshows/references/whosnext,TS0024,2025-11-13
