[2025-11-12 13:04:25] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/men/multilabel-showrooms
[2025-11-12 13:04:31] [INFO] [showrooms] Found 0 showrooms on page
[2025-11-12 13:10:50] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/men/multilabel-showrooms
[2025-11-12 13:11:01] [INFO] [showrooms] Found 15 showrooms on page
[2025-11-12 13:11:32] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/men/multilabel-showrooms
[2025-11-12 13:11:41] [INFO] [showrooms] Found 15 showrooms on page
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Brama (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Breramode (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Daniele Ghiselli Showroom (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: DMVB (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Fattore K House (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Guffanti Concept Showroom (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: LAB fashion agency (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Marziano Bello (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Massimo Bonini Showroom (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: MR60 Showroom (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Papaveri Showroom (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Point di Mariapia Bernardis and co. (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Showroom Marcona3 (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Studiozeta.org (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Added: Tomorrow (Milan, Italy)
[2025-11-12 13:11:41] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/milan/women/multilabel-showrooms
[2025-11-12 13:11:47] [INFO] [showrooms] Found 16 showrooms on page
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Brama (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Breramode (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Daniele Ghiselli Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: DMVB (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Elisa Gaito (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Fattore K House (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Guffanti Concept Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Marziano Bello (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Massimo Bonini Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: MR60 Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Papaveri Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Point di Mariapia Bernardis and co. (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: RG Showroom (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Showroom Marcona3 (Milan, Italy)
[2025-11-12 13:11:47] [INFO] [showrooms] Added: Studiozeta.org (Milan, Italy)
[2025-11-12 13:11:48] [INFO] [showrooms] Added: Tomorrow (Milan, Italy)
[2025-11-12 13:11:48] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/paris/men/multilabel-showrooms
[2025-11-12 13:11:55] [INFO] [showrooms] Found 30 showrooms on page
[2025-11-12 13:11:55] [INFO] [showrooms] Added: AAA Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: AMF Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Black PR (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Brama (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Claret Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Dear Progress (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: DFO Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Fattore K House (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Findings (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: hA Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Ideal Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Marziano Bello (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Mirabel Edgedale (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Objectives (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Paper Mache Tiger (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: PaperKiss Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Plus Plus (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Rainbowwave (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Showapp Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Showroom Marcona3 (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Showroomthomasdufour (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Six London (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Talent To Trend (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Talk Studio (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: The Alphabet (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: The Known Agency (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Tomorrow (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Tranoi Showcase X Saudi 100 Brands (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Vald Agency (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Added: Victor Showroom (Paris, France)
[2025-11-12 13:11:55] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/paris/women/multilabel-showrooms
[2025-11-12 13:12:02] [INFO] [showrooms] Found 37 showrooms on page
[2025-11-12 13:12:02] [INFO] [showrooms] Added: AMF Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Anatomy (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Beautiful Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Black PR (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Brama (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Breramode (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Claret Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Daniele Ghiselli Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Dear Progress (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: DFO Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Elisa Gaito (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Findings (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: L'Adresse Paris Agency (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Marziano Bello (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Mirabel Edgedale (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Myra Designs Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Objectives (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Paper Mache Tiger (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: PaperKiss Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Plus Plus (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Point di Mariapia Bernardis and co. (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Rainbowwave (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: RG Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Showapp Showroom (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Showroomthomasdufour (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Studiozeta.org (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Talent To Trend (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Talent To Trend (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: The Alphabet (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: The Aubrey Company (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: The Known Agency (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Tomorrow (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Tuileries Showroom Paris (Paris, France)
[2025-11-12 13:12:02] [INFO] [showrooms] Added: Vald Agency (Paris, France)
[2025-11-12 13:12:03] [INFO] [showrooms] Added: Vetemaze (Paris, France)
[2025-11-12 13:12:03] [INFO] [showrooms] Added: Victor Showroom (Paris, France)
[2025-11-12 13:12:03] [INFO] [showrooms] Added: We Construct (Paris, France)
[2025-11-12 13:12:03] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/london/women/multilabel-showrooms
[2025-11-12 13:12:06] [INFO] [showrooms] Found 5 showrooms on page
[2025-11-12 13:12:06] [INFO] [showrooms] Added: AMF Showroom (London, United Kingdom)
[2025-11-12 13:12:06] [INFO] [showrooms] Added: Claret Showroom (London, United Kingdom)
[2025-11-12 13:12:06] [INFO] [showrooms] Added: Paper Mache Tiger (London, United Kingdom)
[2025-11-12 13:12:06] [INFO] [showrooms] Added: PaperKiss Showroom (London, United Kingdom)
[2025-11-12 13:12:06] [INFO] [showrooms] Added: Rainbowwave (London, United Kingdom)
[2025-11-12 13:12:06] [INFO] [showrooms] Visiting showrooms list page: https://www.modemonline.com/fashion/fashion-weeks/spring-summer-2026/berlin/men-and-women/multilabel-showrooms
[2025-11-12 13:12:10] [INFO] [showrooms] Found 0 showrooms on page
[2025-11-12 13:12:10] [INFO] [showrooms] Saved 103 showrooms to CSV
