Company,Sector,Website
The Giving Movement,Streetwear,https://thegivingmovement.com/
Amongst Few,Streetwear,https://www.amongstfew.com/
Les Benjamins Dubai,Streetwear,https://lesbenjamins.ae/
Concepts Dubai,Streetwear,https://cncpts.ae/?srsltid=AfmBOoo3eBKFu2hIXScgXgLleEHCVl-hp4GrhLKlawy-8INhP_PBSmVx
Ounass,Luxury Fashion,https://www.ounass.ae/
Level Shoes,Luxury Retail,https://www.levelshoes.com/
Sole DXB,Street Culture,https://sole.digital/
Break The Block,Street Culture,https://www.breaktheblock.me/
Soho Garden DXB,Nightlife,https://sohogardendxb.com/
Bla Bla Dubai,Nightlife,https://blabladubai.ae/
Coca-Cola Arena,Events,https://coca-cola-arena.com/
Dubai Design District (d3),Design Hub,https://dubaidesigndistrict.com/
Virgin Mobile UAE,Gen-Z Tech,https://www.virginmobile.ae/
Tabby,Fintech,https://tabby.ai/en-AE/pay-later
Noon,E-commerce,"noon Online Shopping UAE - Electronics, Mobiles, Fashion, Appliances & More"
Deliveroo UAE,Tech/Food,https://deliveroo.ae/
Talabat,Tech/Food,https://www.talabat.com/uae/
Ellington Properties,Design Real Estate,https://ellingtonproperties.ae/en
Omniyat,Design Real Estate,https://www.omniyat.com/
Al Barari,Design Real Estate,https://www.albarari.com/
Kerzner International,Hospitality,https://www.kerzner.com/
