Company,Sector,Website,Scraped_Emails,Scraped_Phones,Scraped_Instagram
The Giving Movement,Streetwear,https://thegivingmovement.com/,,+971 50 981 0588,https://www.instagram.com/thegivingmovement/
Amongst Few,Streetwear,https://www.amongstfew.com/,,,https://www.instagram.com/amongstfew/
Les Benjamins Dubai,Streetwear,https://lesbenjamins.ae/,,,
Concepts Dubai,Streetwear,https://cncpts.ae/?srsltid=AfmBOoo3eBKFu2hIXScgXgLleEHCVl-hp4GrhLKlawy-8INhP_PBSmVx,,+971 50 980 3922,https://www.instagram.com/cncptsdxb
Ounass,Luxury Fashion,https://www.ounass.ae/,customercare@ounass.com,+971 4 422 3100,https://www.instagram.com/ounass/
Level Shoes,Luxury Retail,https://www.levelshoes.com/,"guestservices@levelshoes.com, johndoe@domain.com, info@levelshoes.com",,https://www.instagram.com/levelshoes
Sole DXB,Street Culture,https://sole.digital/,,,https://instagram.com/soledxb
Break The Block,Street Culture,https://www.breaktheblock.me/,user@domain.com,,https://www.instagram.com/breaktheblock.me
Soho Garden DXB,Nightlife,https://sohogardendxb.com/,,+971 56 793 3366,
Bla Bla Dubai,Nightlife,https://blabladubai.ae/,"careers@blabladubai.ae, reserve@blabladubai.ae","+971 4 630 1024, +971 7 797 1638, +971 7 633 1568, +971 7 633 1365, +971 58 606 3535, +971 4 584 4111, +971 7 797 1229, +971 7 633 1024, +971 7 797 1568",https://www.instagram.com/blabladubai/
Coca-Cola Arena,Events,https://coca-cola-arena.com/,,,https://www.instagram.com/cocacolaarena
Dubai Design District (d3),Design Hub,https://dubaidesigndistrict.com/,,,https://www.instagram.com/d3dubai/
Virgin Mobile UAE,Gen-Z Tech,https://www.virginmobile.ae/,,,https://www.instagram.com/virginmobileuae/
Tabby,Fintech,https://tabby.ai/en-AE/pay-later,,8001110999,https://instagram.com/tabbypay
Noon,E-commerce,"noon Online Shopping UAE - Electronics, Mobiles, Fashion, Appliances & More",,,
Deliveroo UAE,Tech/Food,https://deliveroo.ae/,hello@deliveroo.fr,,https://instagram.com/deliveroo_ae
Talabat,Tech/Food,https://www.talabat.com/uae/,,,https://instagram.com/Talabat
Ellington Properties,Design Real Estate,https://ellingtonproperties.ae/en,,"+971 4 278 0888, +971 4 454 0823",https://www.instagram.com/ellingtondubai/
Omniyat,Design Real Estate,https://www.omniyat.com/,,,https://www.instagram.com/omniyatofficial/
Al Barari,Design Real Estate,https://www.albarari.com/,"gatepass@albarari.ae, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, sales@albarari.ae, customerservice@albarari.community, marketing@albarari.ae, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, example@mysite.com","+971 56 179 2275, +971 4 746 9969, +971 50 645 3292, +971 58 297 5486, +971 56 821 8111",https://www.instagram.com/albarari_dubai/
Kerzner International,Hospitality,https://www.kerzner.com/,,+971 4 524 4000,
