Company,Sector,Dubai_HQ,Website,Clean_Phones,Emails,Instagram,Link_Creative,Link_Brand,Link_Marketing
Almarai,Media/FMCG,hidubai.comOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this siteHiDubaihttps:/...,https://www.almarai.com/en,,,,,,
Nando's UAE,Media/FMCG,nandos.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this siteNando's UAEhttps...,https://www.nandos.ae/,,,,,,
Dominos UAE,Media/FMCG,maps.urbi.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this sitemaps.urbi.aeh...,https://www.dominos.ae/,,,,,,
Hunter Foods,Media/FMCG,hunterfoods.comOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this sitehunterfood...,https://www.hunterfoods.com/,,,,,,
Samsung Gulf,Media/FMCG,samsung.comOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this siteSamsunghttps:/...,https://www.samsung.com/ae/,+971 56 981 0849,,,,,
Virgin Mobile UAE,Media/FMCG,2gis.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this site2GIShttps://2gis.a...,https://www.virginmobile.ae/,,,,,,
Noon,Media/FMCG,bestthings.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this sitebestthings.a...,"noon Online Shopping UAE - Electronics, Mobiles, Fashion, Appliances & More",+971 6 577 6473,,,,,
Dubai Design District (d3),Media/FMCG,2gis.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this site2GIShttps://2gis.a...,"Design, Art & Fashion Hub in Dubai | Dubai Design District","+971 2 144 3889, +971 2 759 3832, +971 3 460 2076, +971 4 593 0665, +971 2 663 5012, +971 7 019 0816, +971 2 415 4589, +971 7 110 2396, +971 3 438 4362",,,,,
Global Village,Media/FMCG,"trip.comReport AdTrip.comhttps://trip.comDubai Global Village Entry Ticket AdGet up to 50% off tickets for global attractions on Trip.com, safely and ...",Global Village Dubai | Official Website,,,,,,
Ounass,Luxury/Design,dubailocal.aeOnly include results for this siteRedo search without this siteBlock this site from all resultsShare feedback about this sitedubailocal.a...,https://www.ounass.ae/,+971 4 422 3100,"rawaqar@altayer.com, customercare@ounass.com",,https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Ounass%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Ounass%20Dubai,
Atlantis The Royal,Luxury/Design,viator.comReport AdViatorhttps://www.viator.com › Aquaventure › Water-ParkAtlantis Dubai - Atlantis Palm Hotel 2026 Tours AdBook Top Rated Aquaventure...,https://duckduckgo.com/y.js?ad_domain=getyourguide.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=H0AnmqrtiF4qEgKz%2DNPABYBOBr7HR5UDKB1aKU8B9MTgOkzmTEM4nXxJxpfMZyJkw_obUDJwsV4dVNM3JuPz4xFSH%2DTo0mYUTihw2NqyGmC6VhSAmpLYRL8NoXAM5BMHMyc1BRjB%2Dp8prlMgOwA10w.rJQcAXuKB%2DlFdkduGeS7OQ&eddgt=m8jjGOIvlGYtnaj99TYg0w%3D%3D&rut=6f9c207109f55484e6b63c23be830317584559c9f057533dd6f9f18766eae7c6&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8tMTCBZzfdKnDvhyh4u5AODVUCUwENoeNHA1eAIkISgY%2DX7l0OyCKex1R9DtdDDCHhdYJ3GHYtVpVDo4VL70nyi0SzZkwheBNYXSR7fuD5x%2Dk9Fo_7%2DVoWVCZRqD3JNWaY6dWZLuSpHZSxf45YvkMms7e7IY8civRfKxNUDjNSwE923Q07PQOq%2DjXbAjzhsJHGrgXb9kb3xUv2lT%2DKD5Qa7eAHwk%26u%3DaHR0cHMlM2ElMmYlMmZ3d3cuZ2V0eW91cmd1aWRlLmNvbSUyZi1sMTk4MTcxJTJmJTNmY21wJTNkYmluZyUyNmNtcCUzZGJpbmclMjZhZF9pZCUzZDc4MDY1NTQ0ODMxNjEyJTI2YWRncm91cF9pZCUzZDEyNDkwNDY1Njc0Nzg5MTglMjZiaWRfbWF0Y2hfdHlwZSUzZGJwJTI2Y2FtcGFpZ25faWQlM2Q3MTA4MTkxODElMjZkZXZpY2UlM2RjJTI2ZmVlZF9pdGVtX2lkJTNkJTI2a2V5d29yZCUzZGF0bGFudGlzJTI1MjB0aGUlMjUyMHJveWFsJTI1MjBib29raW5nJTI2bG9jX2ludGVyZXN0X21zJTNkMTU0NjQ1JTI2bG9jX3BoeXNpY2FsX21zJTNkMjYyNzI5JTI2bWF0Y2hfdHlwZSUzZHAlMjZtc2Nsa2lkJTNkZWI5OWJjZDRiOTAxMTE1OTQyOWFkNTlhN2U2YjI1NTklMjZuZXR3b3JrJTNkbyUyNnBhcnRuZXJfaWQlM2RDRDk1MSUyNnRhcmdldF9pZCUzZGt3ZC03ODA2NTc5ODg3NjY3MSUyNnV0bV9hZGdyb3VwJTNkbGMlMjUzRDE5ODE3MSUyNTNBYXRsYW50aXMlMjUyMHRoZSUyNTIwcm95YWwlMjU3Q2ZuJTI1M0RmNSUyNTdDY2klMjUzRDEwMTQlMjUzQXRpY2tldHMlMjZ1dG1fY2FtcGFpZ24lM2RkYyUyNTNENTYlMjUzQWFlJTI1N0NsYyUyNTNEMTk4MTcxJTI1M0FhdGxhbnRpcyUyNTIwdGhlJTI1MjByb3lhbCUyNTdDY3QlMjUzRGNvcmUlMjU3Q2xuJTI1M0QyOSUyNTNBZW4lMjU3Q3RjJTI1M0RhbGwlMjZ1dG1fa2V5d29yZCUzZGF0bGFudGlzJTI1MjB0aGUlMjUyMHJveWFsJTI1MjBib29raW5nJTI2dXRtX21lZGl1bSUzZHBhaWRfc2VhcmNoJTI2dXRtX3F1ZXJ5JTNkQXRsYW50aXMlMjUyMFRoZSUyNTIwUm95YWwlMjUyMG9mZmljaWFsJTI1MjB3ZWJzaXRlJTI1MjBEdWJhaSUyNnV0bV9zb3VyY2UlM2RiaW5n%26rlid%3Deb99bcd4b9011159429ad59a7e6b2559&vqd=4-241070002675116962717895618386453229793&iurl=%7B1%7DIG%3D349BC1D47569473AA4B01C1B73C4B289%26CID%3D2B4BBD333614693F1104ABFD37EC6880%26ID%3DDevEx%2C5046.1,"+971 2 144 3889, +971 9 302 2035, +971 2 759 3832, +971 3 460 2076, +971 2 663 5012, +971 4 593 0665, +971 7 019 0816, +971 2 415 4589, +971 7 110 2396, +971 3 438 4362",,,https://www.linkedin.com/search/results/people/?keywords=(Creative%20Director%20OR%20Art%20Director)%20Atlantis%20The%20Royal%20Dubai,https://www.linkedin.com/search/results/people/?keywords=Head%20of%20Visual%20Atlantis%20The%20Royal%20Dubai,
